Broker Pseudonym,Contract Status Type,Entry Status,In Force Today,Inception Date,Info,Policy Reference Record ID,As if policy premium,Benchmark Net Premium,Committed RRV %,Gross Written Premium Aspen Share,Incurred Claims Aspen Share,Net Written Premium Aspen Share,Technical Adequacy %,Total Acquisition cost
Lang Rolfson Inc,Bound,LIVE,N,29-11-2016,i,018267,24784.39,33492.41892,0,29777.45,,24784.39,74,4993.06
Lang Rolfson Inc,Bound,LIVE,N,01-12-2016,i,021583,8964.63,4658.160561,0,9194.5,,8964.63,192.45,229.87
Lang Rolfson Inc,Bound,LIVE,N,19-12-2016,i,024472,283.19,213.8251284,0,290.45,,283.19,132.44,7.26
Lang Rolfson Inc,Bound,LIVE,N,21-12-2016,i,024180,2985.16,2797.188906,0,3061.7,,2985.16,106.72,76.54
Lang Rolfson Inc,Bound,LIVE,N,04-01-2017,i,028198,563.86,,0,563.86,,563.86,,0
Lang Rolfson Inc,Bound,LIVE,N,04-01-2017,i,028096,3488.16,,0,3577.6,,3488.16,,89.44
Lang Rolfson Inc,Bound,LIVE,N,05-01-2017,i,024537,5480.47,,0,6485.76,,5480.47,,1005.29
Lang Rolfson Inc,Bound,LIVE,N,11-01-2017,i,028164,3911.7,,0,4012,,3911.7,,100.3
Lang Rolfson Inc,Bound,LIVE,N,26-01-2017,i,028338,1191.39,,0,1254.09,,1191.39,,62.7
Lang Rolfson Inc,Bound,LIVE,N,26-01-2017,i,028341,1312.42,,0,1381.49,,1312.42,,69.07
Lang Rolfson Inc,Bound,LIVE,N,26-01-2017,i,028345,1333.72,,0,1403.92,,1333.72,,70.2
Lang Rolfson Inc,Bound,LIVE,N,02-02-2017,i,024869,2373,,0,2433.85,,2373,,60.85
Lang Rolfson Inc,Bound,LIVE,N,08-02-2017,i,028391,227.91,,0,233.75,,227.91,,5.84
Lang Rolfson Inc,Bound,LIVE,N,16-02-2017,i,031620,28950,,0,30000,126987.78,28950,,1050
Lang Rolfson Inc,Bound,LIVE,N,03-03-2017,i,032764,1160.1,,0,1160.1,,1160.1,,0
Lang Rolfson Inc,Bound,LIVE,N,03-03-2017,i,032721,10828.35,,0,10828.35,50,10828.35,,0
Lang Rolfson Inc,Bound,LIVE,N,13-03-2017,i,023809,465.69,,0,600.89,,465.69,,135.2
Lang Rolfson Inc,Bound,LIVE,N,14-03-2017,i,028695,1821.12,,0,1821.12,,1821.12,,0
Lang Rolfson Inc,Bound,LIVE,N,16-03-2017,i,028778,4548.62,,0,4665.25,,4548.62,,116.63
Lang Rolfson Inc,Bound,LIVE,N,21-03-2017,i,026006,2257.13,,0,2315,,2257.13,,57.87
Lang Rolfson Inc,Bound,LIVE,N,27-03-2017,i,022554,1014.02,,0,1040.02,,1014.02,,26
Lang Rolfson Inc,Bound,LIVE,N,27-03-2017,i,021945,1403.08,,0,1439.05,,1403.08,,35.97
Lang Rolfson Inc,Bound,LIVE,N,31-03-2017,i,016885,55643.55,,0,57661.7,5324.3,55643.55,,2018.15
Lang Rolfson Inc,Bound,LIVE,N,03-04-2017,i,029159,7857.99,,0,9299.4,,7857.99,,1441.41
Lang Rolfson Inc,Bound,LIVE,N,03-04-2017,i,033174,12558.04,,0,16744.05,127351.29,12558.04,,4186.01
Lang Rolfson Inc,Bound,LIVE,N,07-04-2017,i,025202,5553.32,,0,5695.71,,5553.32,,142.39
Lang Rolfson Inc,Bound,LIVE,N,19-04-2017,i,029096,4280.58,,0,4390.34,,4280.58,,109.76
Lang Rolfson Inc,Bound,LIVE,N,27-04-2017,i,022549,4438.13,,0,4551.93,,4438.13,,113.8
Lang Rolfson Inc,Bound,LIVE,N,01-05-2017,i,029165,2570.15,,0,2663.37,,2570.15,,93.22
Lang Rolfson Inc,Bound,LIVE,N,01-05-2017,i,018298,9368.2939,,0,9708.0801,,9368.2939,,339.7862
Lang Rolfson Inc,Bound,LIVE,N,01-05-2017,i,017837,13852.69,,0,14355.12,,13852.69,,502.43
Lang Rolfson Inc,Bound,LIVE,N,11-05-2017,i,024100,4861.94,,0,4986.6,,4861.94,,124.66
Lang Rolfson Inc,Bound,LIVE,N,13-05-2017,i,026954,99.3,,0,99.3,,99.3,,0
Lang Rolfson Inc,Bound,LIVE,N,15-05-2017,i,022235,83446,,0,83446,11928,83446,,0
Lang Rolfson Inc,Bound,LIVE,N,16-05-2017,i,026002,2098.8,,0,2152.61,,2098.8,,53.81
Lang Rolfson Inc,Bound,LIVE,N,23-05-2017,i,022538,6963.41,,0,8240.72,,6963.41,,1277.31
Lang Rolfson Inc,Bound,LIVE,N,01-06-2017,i,022720,2230.57,,0,2287.76,,2230.57,,57.19
Lang Rolfson Inc,Bound,LIVE,N,01-06-2017,i,025946,104998.76,,0,108807,10411.46,104998.76,,3808.24
Lang Rolfson Inc,Bound,LIVE,N,06-06-2017,i,029518,2577.22,,0,2577.22,,2577.22,,0
Lang Rolfson Inc,Bound,LIVE,N,30-06-2017,i,016116,16892.32,,0,17505,,16892.32,,612.68
Lang Rolfson Inc,Bound,LIVE,N,10-07-2017,i,032773,424.26,,0,424.26,,424.26,,0
Lang Rolfson Inc,Bound,LIVE,N,15-07-2017,i,029827,2126.09,,0,2180.6,,2126.09,,54.51
Lang Rolfson Inc,Bound,LIVE,N,17-07-2017,i,032768,460.68,,0,460.68,,460.68,,0
Lang Rolfson Inc,Bound,LIVE,N,17-07-2017,i,032864,3035.28,,0,4336.11,,3035.28,,1300.83
Lang Rolfson Inc,Bound,LIVE,N,17-07-2017,i,032667,9807.9,,0,13077.2,,9807.9,,3269.3
Lang Rolfson Inc,Bound,LIVE,N,24-07-2017,i,023047,223.8,,0,223.8,,223.8,,0
Lang Rolfson Inc,Bound,LIVE,N,31-07-2017,i,034901,299.42,,0,427.74,,299.42,,128.32
Lang Rolfson Inc,Bound,LIVE,N,01-08-2017,i,026831,6056.94,,0,6212.25,,6056.94,,155.31
Lang Rolfson Inc,Bound,LIVE,N,04-08-2017,i,026856,132.78,,0,136.18,,132.78,,3.4
Lang Rolfson Inc,Bound,LIVE,N,02-09-2017,i,027272,1918.07,,0,1918.07,,1918.07,,0
Lang Rolfson Inc,Bound,LIVE,N,30-09-2017,i,033218,29605.76,,0,30364.88,,29605.76,,759.12
Lang Rolfson Inc,Bound,LIVE,N,30-09-2017,i,016195,63732.86,,0,66044.41,6898.08,63732.86,,2311.55
Lang Rolfson Inc,Bound,LIVE,N,01-10-2017,i,021946,1167.23,,0,1197.16,,1167.23,,29.93
Lang Rolfson Inc,Bound,LIVE,N,01-10-2017,i,033213,4551.18,,0,4667.88,,4551.18,,116.7
Lang Rolfson Inc,Bound,LIVE,N,01-10-2017,i,015692,26323.27,,0,27278,,26323.27,,954.73
Lang Rolfson Inc,Bound,LIVE,N,03-10-2017,i,033319,1302.59,,0,1302.59,,1302.59,,0
Lang Rolfson Inc,Bound,LIVE,N,04-10-2017,i,033267,3517.47,,0,3607.66,,3517.47,,90.19
Lang Rolfson Inc,Bound,LIVE,N,15-10-2017,i,030593,2768.32,,0,2768.32,,2768.32,,0
Lang Rolfson Inc,Bound,LIVE,N,16-10-2017,i,033321,423.48,,0,423.48,,423.48,,0
Lang Rolfson Inc,Bound,LIVE,N,24-10-2017,i,031685,171.08,,0,171.08,,171.08,,0
Lang Rolfson Inc,Bound,LIVE,N,19-12-2017,i,024473,232.24,,0,238.19,,232.24,,5.95
Lang Rolfson Inc,Bound,LIVE,N,21-12-2017,i,024181,2985.16,,0,3061.7,,2985.16,,76.54
Lang Rolfson Inc,Bound,LIVE,N,04-01-2018,i,028097,3488.16,3430.864562,0,3577.6,,3488.16,101.67,89.44
Lang Rolfson Inc,Bound,LIVE,N,04-01-2018,i,028199,815.13,727.729667,0,815.13,,815.13,112.01,0
Lang Rolfson Inc,Bound,LIVE,N,11-01-2018,i,028165,4008.23,4004.625837,0,4111,,4008.23,100.09,102.77
Lang Rolfson Inc,Bound,LIVE,N,26-01-2018,i,028339,1191.39,1146.780248,0,1254.09,,1191.39,103.89,62.7
Lang Rolfson Inc,Bound,LIVE,N,26-01-2018,i,028342,1204.54,1159.326275,0,1267.94,,1204.54,103.9,63.4
Lang Rolfson Inc,Bound,LIVE,N,26-01-2018,i,028346,1333.72,1283.657363,0,1403.92,,1333.72,103.9,70.2
Lang Rolfson Inc,Bound,LIVE,N,06-02-2018,i,032057,7745.31,6069.516496,0,7943.91,,7745.31,127.61,198.6
Lang Rolfson Inc,Bound,LIVE,N,03-03-2018,i,032765,578.46,483.3389037,0,578.46,,578.46,119.68,0
Lang Rolfson Inc,Bound,LIVE,N,14-03-2018,i,028696,998.68,954.0313336,0,998.68,,998.68,104.68,0
Lang Rolfson Inc,Bound,LIVE,N,16-03-2018,i,028779,8199.02,8113.824839,0,8409.25,,8199.02,101.05,210.23
Lang Rolfson Inc,Bound,LIVE,N,20-03-2018,i,031962,56.49,49.59178299,0,56.49,,56.49,113.91,0
Lang Rolfson Inc,Bound,LIVE,N,24-03-2018,i,024101,3780.46,3326.991112,0,3877.4,,3780.46,113.63,96.94
Lang Rolfson Inc,Bound,LIVE,N,01-04-2018,i,021947,946.08,946.08,0,970.34,,946.08,100,24.26
Lang Rolfson Inc,Bound,LIVE,N,01-04-2018,i,032146,288.64,231.1709114,0,288.64,,288.64,124.86,0
Lang Rolfson Inc,Bound,LIVE,N,01-04-2018,i,025976,456.25,680.9701493,0,472.8,0,456.25,67,16.55
Lang Rolfson Inc,Bound,LIVE,N,01-04-2018,i,016886,52704.95,38753.63971,0,54616.53,3347.3,52704.95,136,1911.58
Lang Rolfson Inc,Bound,LIVE,N,03-04-2018,i,029160,5729.72,5189.963768,0,6780.73,,5729.72,110.4,1051.01
Lang Rolfson Inc,Bound,LIVE,N,07-04-2018,i,025203,2712.17,2706.216324,0,2781.71,,2712.17,100.22,69.54
Lang Rolfson Inc,Bound,LIVE,N,19-04-2018,i,029097,2279.47,1981.458623,0,2337.92,,2279.47,115.04,58.45
Lang Rolfson Inc,Bound,LIVE,N,25-04-2018,i,030908,6814.77,6398.244296,0,6989.5,,6814.77,106.51,174.73
Lang Rolfson Inc,Bound,LIVE,N,27-04-2018,i,022550,671.38,283.4022794,0,688.6,,671.38,236.9,17.22
Lang Rolfson Inc,Bound,LIVE,N,01-05-2018,i,029166,2567.5,2331.75915,0,2660.62,,2567.5,110.11,93.12
Lang Rolfson Inc,Bound,LIVE,N,01-05-2018,i,032103,54357.43,44923.49587,0,56436.68,,54357.43,121,2079.25
Lang Rolfson Inc,Bound,LIVE,N,15-05-2018,i,022236,83446,100537.3494,0,83446,114823.8,83446,83,0
Lang Rolfson Inc,Bound,LIVE,N,01-06-2018,i,025947,113575.32,94646.1,0,117694.63,256378.6,113575.32,120,4119.31
Lang Rolfson Inc,Bound,LIVE,N,06-06-2018,i,029519,1482.8,1380.76171,0,1482.8,,1482.8,107.39,0
Lang Rolfson Inc,Bound,LIVE,N,30-06-2018,i,016117,16892.32,12700.99248,0,17505,,16892.32,133,612.68
Lang Rolfson Inc,Bound,LIVE,N,10-07-2018,i,032774,290.44,285.3886214,0,290.44,,290.44,101.77,0
Lang Rolfson Inc,Bound,LIVE,N,15-07-2018,i,029828,2126.09,2089.112705,0,2180.6,,2126.09,101.77,54.51
Lang Rolfson Inc,Bound,LIVE,N,17-07-2018,i,032769,126.09,123.2189974,0,126.09,,126.09,102.33,0
Lang Rolfson Inc,Bound,LIVE,N,24-07-2018,i,023048,271.6,230.8934796,0,271.6,,271.6,117.63,0
Lang Rolfson Inc,Bound,LIVE,N,31-07-2018,i,034902,54.66,75.46596714,0,78.08,,54.66,72.43,23.42
Lang Rolfson Inc,Bound,LIVE,N,01-08-2018,i,026832,4938.13,6057.568695,0,5064.75,,4938.13,81.52,126.62
Lang Rolfson Inc,Bound,LIVE,N,07-09-2018,i,026753,36000,35643.56436,0,48000,,36000,101,12000
Lang Rolfson Inc,Bound,LIVE,N,30-09-2018,i,016196,90266.86,100296.5111,0,93540.78,5116.59,90266.86,90,3273.92
Lang Rolfson Inc,Bound,LIVE,N,01-10-2018,i,033214,2903.26,2699.200446,0,2977.7,,2903.26,107.56,74.44
Lang Rolfson Inc,Bound,LIVE,N,03-10-2018,i,033320,415.94,325.6910187,0,415.94,,415.94,127.71,0
Lang Rolfson Inc,Bound,LIVE,N,03-10-2018,i,025204,13181.3,4763.923525,0,13519.29,,13181.3,276.69,337.99
Lang Rolfson Inc,Bound,LIVE,N,04-10-2018,i,033268,3515.29,3057.837509,0,3605.43,,3515.29,114.96,90.14
Lang Rolfson Inc,Bound,LIVE,N,15-10-2018,i,030594,2341.7,2347.804291,0,2341.7,,2341.7,99.74,0
Lang Rolfson Inc,Bound,LIVE,N,16-10-2018,i,033322,402.6,376.1562179,0,402.6,,402.6,107.03,0
Lang Rolfson Inc,Bound,LIVE,N,01-11-2018,i,022539,63.94,17.3213415,0,75.67,,63.94,369.14,11.73
Lang Rolfson Inc,Bound,LIVE,N,21-12-2018,i,024182,2820.77,26461.25704,0,2893.1,,2820.77,10.66,72.33
Lang Rolfson Inc,Bound,LIVE,N,24-12-2018,i,029161,11081.98,4772.601206,0,13114.77,,11081.98,232.2,2032.79
Lang Rolfson Inc,Bound,LIVE,N,01-01-2019,i,015693,23185.66,26347.34091,0,24257.04,,23185.66,88,1071.38
Lang Rolfson Inc,Bound,LIVE,N,01-01-2019,i,021948,329.67,15.45352271,0,338.11,,329.67,2133.3,8.44
Lang Rolfson Inc,Bound,LIVE,N,04-01-2019,i,028098,3488.16,3430.864562,0,3577.6,,3488.16,101.67,89.44
Lang Rolfson Inc,Bound,LIVE,N,10-01-2019,i,028166,3597.13,3593.895494,0,3689.36,,3597.13,100.09,92.23
Lang Rolfson Inc,Bound,LIVE,N,01-02-2019,i,032058,7745.31,6089.080189,0,7943.91,,7745.31,127.2,198.6
Lang Rolfson Inc,Bound,LIVE,N,15-02-2019,i,030909,2623.48,1938.866307,0,2690.75,,2623.48,135.31,67.27
Lang Rolfson Inc,Bound,LIVE,N,16-03-2019,i,028780,5672.79,5603.862491,0,5818.25,,5672.79,101.23,145.46
Lang Rolfson Inc,Bound,LIVE,N,01-04-2019,i,025977,965,919.047619,0,1000,,965,105,35
Lang Rolfson Inc,Bound,LIVE,N,01-04-2019,i,032147,238.87,191.3255907,0,238.87,,238.87,124.85,0
Lang Rolfson Inc,Bound,LIVE,N,01-04-2019,i,016531,9041.17,6027.446667,0,9273,,9041.17,150,231.83
Lang Rolfson Inc,Bound,LIVE,N,01-04-2019,i,016887,75661.16,58200.89231,0,78341.53,1460.16,75661.16,130,2680.37
Lang Rolfson Inc,Bound,LIVE,N,18-04-2019,i,037729,30294,25036.36364,0,35640,,30294,121,5346
Lang Rolfson Inc,Bound,LIVE,N,01-05-2019,i,029167,2686.98,2653.807407,0,2784.44,,2686.98,101.25,97.46
Lang Rolfson Inc,Bound,LIVE,N,01-05-2019,i,032104,64132.21,49332.46923,0,66458.25,,64132.21,130,2326.04
Lang Rolfson Inc,Bound,LIVE,N,05-07-2019,i,032775,33.6,31.23257111,0,33.6,,33.6,107.58,0
Lang Rolfson Inc,Bound,LIVE,N,15-07-2019,i,029829,2581.21,2519.482674,0,2647.4,,2581.21,102.45,66.19
Lang Rolfson Inc,Bound,LIVE,N,28-09-2019,i,033323,32.49,30.35597496,0,32.49,,32.49,107.03,0
Lang Rolfson Inc,Bound,LIVE,N,01-10-2019,i,025205,2933.77,898.1111859,0,3009,8755.28,2933.77,326.66,75.23
Lang Rolfson Inc,Bound,LIVE,N,20-12-2019,i,039966,3037.22,2828.214918,0,3115.09,,3037.22,107.39,77.87
Lang Rolfson Inc,Bound,LIVE,N,10-01-2020,i,028167,1103.98,1102.766956,0,1132.29,,1103.98,100.11,28.31
Hoppe and Sons,Bound,LIVE,N,09-01-2013,i,017639,843.01,829.1629783,0,864.63,,843.01,101.67,21.62
Hoppe and Sons,Bound,LIVE,N,25-02-2013,i,018331,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,11-03-2013,i,018974,2000,2000,0,2500,,2000,100,500
Hoppe and Sons,Bound,LIVE,N,11-03-2013,i,018976,2000,2000,0,2500,,2000,100,500
Hoppe and Sons,Bound,LIVE,N,11-03-2013,i,018977,2000,2000,0,2500,,2000,100,500
Hoppe and Sons,Bound,LIVE,N,15-03-2013,i,018706,92200,119740.2597,0,93200,,92200,77,1000
Hoppe and Sons,Bound,LIVE,N,15-04-2013,i,019261,800,800,0,1000,,800,100,200
Hoppe and Sons,Bound,LIVE,N,29-04-2013,i,015996,15600,22285.71429,0,19500,,15600,70,3900
Hoppe and Sons,Bound,LIVE,N,01-05-2013,i,019327,6000,6185.56701,0,7500,,6000,97,1500
Hoppe and Sons,Bound,LIVE,N,09-05-2013,i,019461,2800,2800,0,3500,,2800,100,700
Hoppe and Sons,Bound,LIVE,N,20-05-2013,i,019546,6000,6000,0,7500,,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,29-05-2013,i,019579,8000,8499.787505,0,10000,863.4,8000,94.12,2000
Hoppe and Sons,Bound,LIVE,N,01-06-2013,i,016096,11040,10128.44037,0,13800,,11040,109,2760
Hoppe and Sons,Bound,LIVE,N,10-06-2013,i,019776,6000,6000,0,7500,,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,15-06-2013,i,019702,15400,15400,0,19250,,15400,100,3850
Hoppe and Sons,Bound,LIVE,N,15-06-2013,i,019791,990.18,928.0037488,0,1015.57,,990.18,106.7,25.39
Hoppe and Sons,Bound,LIVE,N,20-06-2013,i,019782,7880,6677.966102,0,9850,0,7880,118,1970
Hoppe and Sons,Bound,LIVE,N,24-06-2013,i,019677,960,960,0,1200,,960,100,240
Hoppe and Sons,Bound,LIVE,N,30-06-2013,i,019502,1600,1600,0,2000,,1600,100,400
Hoppe and Sons,Bound,LIVE,N,01-08-2013,i,019890,2800,2800,0,3500,,2800,100,700
Hoppe and Sons,Bound,LIVE,N,01-08-2013,i,022606,2800,2800,0,3500,,2800,100,700
Hoppe and Sons,Bound,LIVE,N,05-08-2013,i,016658,33230.36,47471.94286,0,41537.95,5617,33230.36,70,8307.59
Hoppe and Sons,Bound,LIVE,N,08-08-2013,i,020320,3000,3000,0,3750,,3000,100,750
Hoppe and Sons,Bound,LIVE,N,12-08-2013,i,019605,2250,2351.097179,0,2500,,2250,95.7,250
Hoppe and Sons,Bound,LIVE,N,21-08-2013,i,020430,5608.88,6099.923872,0,5752.7,,5608.88,91.95,143.82
Hoppe and Sons,Bound,LIVE,N,02-09-2013,i,019703,1200,1200,0,1500,,1200,100,300
Hoppe and Sons,Bound,LIVE,N,09-09-2013,i,020520,1600,1568.627451,0,2000,,1600,102,400
Hoppe and Sons,Bound,LIVE,N,03-10-2013,i,018084,3486.51,3486.51,0,3575.91,,3486.51,100,89.4
Hoppe and Sons,Bound,LIVE,N,04-10-2013,i,016988,7309.85,7345.844639,0,7309.85,,7309.85,99.51,0
Hoppe and Sons,Bound,LIVE,N,04-10-2013,i,020714,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,24-10-2013,i,020864,6000,5657.708628,0,7500,,6000,106.05,1500
Hoppe and Sons,Bound,LIVE,N,28-10-2013,i,020886,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,04-11-2013,i,020923,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,14-11-2013,i,020944,6440,6800.422386,0,8050,,6440,94.7,1610
Hoppe and Sons,Bound,LIVE,N,19-11-2013,i,020630,4000,1597.699313,0,5000,,4000,250.36,1000
Hoppe and Sons,Bound,LIVE,N,21-11-2013,i,021070,800,800,0,1000,,800,100,200
Hoppe and Sons,Bound,LIVE,N,21-11-2013,i,021066,3200,3200,0,4000,,3200,100,800
Hoppe and Sons,Bound,LIVE,N,22-11-2013,i,021071,2000,2000,0,2500,,2000,100,500
Hoppe and Sons,Bound,LIVE,N,09-12-2013,i,021216,1600,1600,0,2000,,1600,100,400
Hoppe and Sons,Bound,LIVE,N,09-12-2013,i,021192,7326,6618.484055,0,9157.5,,7326,110.69,1831.5
Hoppe and Sons,Bound,LIVE,N,06-01-2014,i,021130,800,800,0,1000,,800,100,200
Hoppe and Sons,Bound,LIVE,N,09-01-2014,i,017640,843.01,837.3994239,0,864.63,,843.01,100.67,21.62
Hoppe and Sons,Bound,LIVE,N,04-03-2014,i,021765,800,800,0,1000,,800,100,200
Hoppe and Sons,Bound,LIVE,N,04-03-2014,i,021772,2400,2400,0,3000,,2400,100,600
Hoppe and Sons,Bound,LIVE,N,10-03-2014,i,021834,2000,2000,0,2500,,2000,100,500
Hoppe and Sons,Bound,LIVE,N,13-03-2014,i,018771,68704.27,95835.22109,0,81790.8,103174.27,68704.27,71.69,13086.53
Hoppe and Sons,Bound,LIVE,N,15-03-2014,i,020431,5946.62,6099.723049,0,6099.1,,5946.62,97.49,152.48
Hoppe and Sons,Bound,LIVE,N,03-04-2014,i,022139,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,29-04-2014,i,015997,16000,22857.14286,0,20000,,16000,70,4000
Hoppe and Sons,Bound,LIVE,N,01-05-2014,i,019328,6000,6000,0,7500,,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,19-05-2014,i,022439,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,01-06-2014,i,021072,2000,2000,0,2500,,2000,100,500
Hoppe and Sons,Bound,LIVE,N,01-06-2014,i,016097,4600,4220.183486,0,6000,,4600,109,1400
Hoppe and Sons,Bound,LIVE,N,15-06-2014,i,019792,247.54,236.4504728,0,253.89,,247.54,104.69,6.35
Hoppe and Sons,Bound,LIVE,N,20-06-2014,i,019783,7880,10577.18121,0,9850,,7880,74.5,1970
Hoppe and Sons,Bound,LIVE,N,23-06-2014,i,022651,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,01-07-2014,i,022857,5475.9,5475.9,0,5616.31,,5475.9,100,140.41
Hoppe and Sons,Bound,LIVE,N,01-07-2014,i,016623,217222.65,342298.5345,0,222792.46,38653,217222.65,63.46,5569.81
Hoppe and Sons,Bound,LIVE,N,01-07-2014,i,022660,44460,43286.92435,0,45600,128688.57,44460,102.71,1140
Hoppe and Sons,Bound,LIVE,N,08-07-2014,i,022829,8560,8614.2699,0,10700,,8560,99.37,2140
Hoppe and Sons,Bound,LIVE,N,10-07-2014,i,022922,3200,3200,0,4000,,3200,100,800
Hoppe and Sons,Bound,LIVE,N,10-07-2014,i,022911,8000,8000,0,10000,,8000,100,2000
Hoppe and Sons,Bound,LIVE,N,24-07-2014,i,023040,9600,9600,0,12000,,9600,100,2400
Hoppe and Sons,Bound,LIVE,N,24-07-2014,i,023041,6673.88,6655.909046,0,6845,,6673.88,100.27,171.12
Hoppe and Sons,Bound,LIVE,N,24-07-2014,i,022661,61327.5,59843.38407,0,62900,,61327.5,102.48,1572.5
Hoppe and Sons,Bound,LIVE,N,05-08-2014,i,016659,34576.85,53607.51938,0,43221.06,45837.98,34576.85,64.5,8644.21
Hoppe and Sons,Bound,LIVE,N,08-08-2014,i,023162,3000,3000,0,3750,,3000,100,750
Hoppe and Sons,Bound,LIVE,N,29-08-2014,i,023344,3061.55,3061.55,0,3140.05,,3061.55,100,78.5
Hoppe and Sons,Bound,LIVE,N,28-09-2014,i,023415,9600,10127.6506,0,12000,,9600,94.79,2400
Hoppe and Sons,Bound,LIVE,N,03-10-2014,i,018085,3486.51,2617.303506,0,3575.91,,3486.51,133.21,89.4
Hoppe and Sons,Bound,LIVE,N,24-10-2014,i,020865,6000,6000,0,7500,0,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,31-10-2014,i,023833,29970,39268.86792,0,37462.5,8178,29970,76.32,7492.5
Hoppe and Sons,Bound,LIVE,N,17-02-2015,i,024661,8000,8000,0,10000,3960,8000,100,2000
Hoppe and Sons,Bound,LIVE,N,13-03-2015,i,023345,6164.77,5133.030808,0,6322.84,,6164.77,120.1,158.07
Hoppe and Sons,Bound,LIVE,N,15-03-2015,i,020432,5946.62,6099.723049,0,6099.1,,5946.62,97.49,152.48
Hoppe and Sons,Bound,LIVE,N,30-03-2015,i,025456,8000,8000,0,10000,,8000,100,2000
Hoppe and Sons,Bound,LIVE,N,01-04-2015,i,025646,8000,8000,0,10000,,8000,100,2000
Hoppe and Sons,Bound,LIVE,N,13-04-2015,i,025677,86217.61,98019.11096,0,102185.42,,86217.61,87.96,15967.81
Hoppe and Sons,Bound,LIVE,N,13-04-2015,i,025678,6430.3,6583.026208,0,6595.18,,6430.3,97.68,164.88
Hoppe and Sons,Bound,LIVE,N,03-05-2015,i,019329,6160,6160,0,7700,,6160,100,1540
Hoppe and Sons,Bound,LIVE,N,20-05-2015,i,019548,19239.44,30061.625,0,24049.3,0,19239.44,64,4809.86
Hoppe and Sons,Bound,LIVE,N,21-05-2015,i,025951,4000,4000,0,5000,,4000,100,1000
Hoppe and Sons,Bound,LIVE,N,29-05-2015,i,019581,6500,4140.127389,0,8500,0,6500,157,2000
Hoppe and Sons,Bound,LIVE,N,01-06-2015,i,016098,4200,3134.328358,0,5250,,4200,134,1050
Hoppe and Sons,Bound,LIVE,N,08-06-2015,i,024922,2800,2800,0,3500,,2800,100,700
Hoppe and Sons,Bound,LIVE,N,20-06-2015,i,019784,7880,10648.64865,0,9850,,7880,74,1970
Hoppe and Sons,Bound,LIVE,N,22-06-2015,i,026313,6000,6000,0,7500,,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,08-07-2015,i,022830,20920,19018.18182,0,26150,10590.37,20920,110,5230
Hoppe and Sons,Bound,LIVE,N,14-08-2015,i,026959,10320,10320,0,12900,,10320,100,2580
Hoppe and Sons,Bound,LIVE,N,14-08-2015,i,027077,229.81,194.8037637,0,229.81,,229.81,117.97,0
Hoppe and Sons,Bound,LIVE,N,14-08-2015,i,026972,35260,29383.33333,0,44075,,35260,120,8815
Hoppe and Sons,Bound,LIVE,N,07-09-2015,i,027050,2800,2800,0,3500,,2800,100,700
Hoppe and Sons,Bound,LIVE,N,21-09-2015,i,025725,6000,6000,0,7500,,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,28-09-2015,i,023416,9600,11034.48276,0,12000,2902,9600,87,2400
Hoppe and Sons,Bound,LIVE,N,03-10-2015,i,018086,2015.49,2015.49,0,2067.17,,2015.49,100,51.68
Hoppe and Sons,Bound,LIVE,N,24-10-2015,i,020866,6000,6000,0,7500,,6000,100,1500
Hoppe and Sons,Bound,LIVE,N,17-02-2016,i,024662,12204.8,12453.87755,0,15256,8300,12204.8,98,3051.2
Hoppe and Sons,Bound,LIVE,N,13-03-2016,i,023346,4872.49,3369.633472,0,4997.43,,4872.49,144.6,124.94
Hoppe and Sons,Bound,LIVE,N,13-04-2016,i,025679,6430.3,6014.122709,0,6595.18,,6430.3,106.92,164.88
Hoppe and Sons,Bound,LIVE,N,20-05-2016,i,019549,17280,29793.10345,0,21600,0,17280,58,4320
Hoppe and Sons,Bound,LIVE,N,29-05-2016,i,019582,8000,8333.333333,0,10000,0,8000,96,2000
Hoppe and Sons,Bound,LIVE,N,01-06-2016,i,016099,11200,8358.208955,0,14000,,11200,134,2800
Hoppe and Sons,Bound,LIVE,N,20-06-2016,i,019785,7880,10648.64865,0,9850,3764.55,7880,74,1970
Hoppe and Sons,Bound,LIVE,N,01-07-2016,i,016625,252856.92,328385.6104,0,253740.92,71191.74,252856.92,77,884
Hoppe and Sons,Bound,LIVE,N,08-07-2016,i,022831,22400,36129.03226,0,28000,1609.2,22400,62,5600
Hoppe and Sons,Bound,LIVE,N,05-08-2016,i,016661,33956.6,29272.93103,0,42445.75,57780.9,33956.6,116,8489.15
